CA(m) [°],CA(l) [°],CA(r) [°],Elapsed time [s],Three-phase point (l) [mm],Three-phase point (r) [mm]
70.89,71.27,70.51,0.000,16.7,61.3
71.36,71.49,71.23,0.100,16.7,61.3
71.36,71.63,71.09,0.199,16.7,61.3
71.40,71.55,71.25,0.299,16.7,61.4
71.00,71.10,70.90,0.400,16.7,61.4
70.72,70.71,70.73,0.500,16.7,61.4
70.60,70.87,70.32,0.600,16.7,61.5
70.85,71.09,70.60,0.700,16.7,61.4
70.75,70.90,70.59,0.800,16.7,61.5
70.45,70.52,70.38,0.900,16.6,61.5
69.86,69.56,70.16,0.999,16.6,61.5
69.56,69.53,69.59,1.099,16.6,61.5
69.40,69.57,69.23,1.200,16.7,61.5
69.06,68.76,69.36,1.300,16.6,61.4
67.95,67.45,68.45,1.399,16.6,61.5
67.42,67.32,67.52,1.499,16.6,61.5
67.14,67.13,67.16,1.600,16.7,61.5
66.44,66.50,66.37,1.699,16.7,61.5
65.59,65.74,65.45,1.799,16.6,61.5
64.96,65.59,64.33,1.900,16.6,61.5
64.24,64.44,64.04,2.000,16.7,61.5
63.98,64.20,63.76,2.099,16.7,61.5
62.94,62.84,63.03,2.200,16.7,61.4
61.93,62.48,61.38,2.300,16.7,61.5
61.54,61.99,61.08,2.400,16.7,61.5
60.19,59.97,60.41,2.499,16.6,61.5
59.39,59.04,59.74,2.600,16.6,61.5
58.27,57.83,58.71,2.700,16.7,61.5
57.44,57.31,57.58,2.800,16.6,61.5
56.91,57.13,56.69,2.900,16.6,61.4
55.74,55.46,56.03,3.000,16.7,61.4
54.63,54.59,54.67,3.100,16.6,61.5
53.72,53.48,53.97,3.199,16.7,61.4
52.17,52.42,51.91,3.299,16.7,61.5
51.62,51.01,52.22,3.400,16.7,61.4
50.76,50.53,50.99,3.500,16.7,61.4
49.88,49.35,50.41,3.599,16.7,61.4
49.12,48.82,49.42,3.701,16.6,61.4
47.83,47.46,48.20,3.800,16.6,61.5
47.03,46.61,47.45,3.900,16.7,61.4
46.95,46.12,47.78,3.999,16.7,61.4
46.15,45.89,46.41,4.100,16.7,61.4
45.09,45.00,45.18,4.200,16.8,61.4
44.50,44.20,44.80,4.299,17.0,61.4
44.22,43.74,44.70,4.399,17.4,61.4
43.84,43.46,44.22,4.500,17.8,61.4
44.29,44.10,44.48,4.600,18.1,61.3
44.53,44.33,44.73,4.699,18.4,61.3
43.67,43.51,43.83,4.799,18.8,61.3
44.50,44.44,44.56,4.901,19.0,61.2
43.32,43.61,43.02,5.000,19.3,61.1
43.62,43.58,43.66,5.100,19.5,60.9
43.94,44.09,43.80,5.199,19.9,60.8
43.58,43.17,43.98,5.300,20.1,60.5
43.91,43.95,43.86,5.400,20.3,60.3
44.13,44.94,43.32,5.499,20.6,60.1
43.62,44.41,42.83,5.599,20.9,60.0
43.81,44.59,43.03,5.700,21.1,59.7
43.76,43.80,43.73,5.799,21.3,59.4
44.20,44.30,44.10,5.900,21.5,59.0
44.03,43.73,44.33,6.000,21.7,58.7
44.40,44.02,44.77,6.100,21.9,58.5
43.41,43.50,43.31,6.199,22.2,58.2
43.50,43.14,43.86,6.300,22.4,57.9
43.65,43.15,44.16,6.400,22.6,57.6
43.26,43.74,42.78,6.500,22.9,57.3
42.30,41.59,43.01,6.600,23.0,56.9
43.68,43.83,43.53,6.699,23.4,56.6
43.61,43.55,43.67,6.800,23.8,56.2
43.36,43.27,43.45,6.900,24.1,55.9
43.69,43.76,43.61,6.999,24.5,55.5
43.39,44.00,42.78,7.099,24.9,55.2
43.06,43.02,43.09,7.200,25.1,54.7
43.94,43.65,44.22,7.299,25.6,54.3
43.87,43.86,43.87,7.399,25.9,53.8
43.58,43.78,43.37,7.500,26.4,53.5
43.23,43.18,43.28,7.600,26.9,52.8
43.47,43.60,43.34,7.699,27.5,52.2
43.04,42.86,43.23,7.799,28.1,51.6
69.77,69.62,69.92,0.000,16.6,61.2
69.33,69.43,69.24,0.100,16.6,61.2
70.17,70.66,69.67,0.201,16.6,61.2
69.83,70.28,69.39,0.300,16.6,61.2
69.84,70.01,69.67,0.400,16.6,61.2
69.97,70.33,69.62,0.500,16.6,61.2
69.96,70.17,69.75,0.600,16.6,61.2
70.02,70.30,69.74,0.700,16.6,61.2
69.79,69.93,69.65,0.800,16.6,61.2
69.86,70.17,69.55,0.900,16.6,61.3
69.72,70.19,69.24,1.000,16.6,61.2
69.30,69.22,69.38,1.100,16.6,61.2
69.55,69.88,69.21,1.200,16.6,61.2
69.24,69.38,69.10,1.300,16.6,61.2
68.82,69.02,68.61,1.400,16.6,61.2
68.33,68.40,68.25,1.500,16.6,61.2
67.73,68.13,67.32,1.600,16.6,61.2
67.48,67.93,67.03,1.700,16.6,61.2
67.02,67.31,66.73,1.800,16.6,61.2
66.04,66.08,66.00,1.900,16.6,61.2
65.39,65.82,64.96,2.000,16.6,61.2
64.95,64.87,65.03,2.099,16.6,61.3
64.50,65.13,63.88,2.200,16.6,61.2
64.14,64.69,63.60,2.300,16.6,61.2
62.79,63.21,62.36,2.400,16.6,61.2
61.94,62.87,61.01,2.499,16.7,61.2
61.22,61.42,61.01,2.600,16.6,61.2
60.34,60.74,59.93,2.700,16.6,61.2
58.98,59.13,58.83,2.800,16.7,61.2
58.40,58.22,58.58,2.900,16.6,61.2
56.99,56.41,57.58,3.000,16.6,61.2
56.40,56.71,56.09,3.100,16.6,61.2
55.35,55.37,55.34,3.200,16.6,61.2
54.60,54.88,54.31,3.300,16.6,61.3
52.67,52.37,52.97,3.400,16.6,61.2
51.98,51.69,52.28,3.500,16.6,61.1
51.89,51.15,52.63,3.599,16.6,61.2
51.38,51.35,51.41,3.700,16.6,61.2
49.88,49.48,50.28,3.800,16.6,61.2
48.58,48.29,48.86,3.900,16.6,61.3
48.47,48.36,48.58,4.000,16.7,61.2
47.80,47.79,47.80,4.100,16.6,61.2
46.77,47.26,46.28,4.200,16.7,61.2
45.70,45.72,45.67,4.300,16.6,61.2
44.66,44.04,45.29,4.400,16.6,61.3
44.58,44.67,44.50,4.500,16.8,61.3
43.96,43.50,44.42,4.600,16.8,61.2
44.33,44.31,44.34,4.699,17.1,61.2
44.27,44.33,44.21,4.800,17.4,61.1
43.67,43.49,43.86,4.900,17.6,61.1
44.22,43.95,44.49,5.000,17.8,60.9
43.42,43.19,43.65,5.100,18.1,60.9
43.92,44.53,43.31,5.199,18.5,60.7
43.79,43.66,43.91,5.299,18.7,60.7
43.77,44.08,43.47,5.400,19.2,60.5
43.76,43.89,43.63,5.500,19.4,60.4
43.69,43.44,43.93,5.600,19.7,60.4
43.87,43.69,44.05,5.699,20.0,60.3
43.53,43.62,43.43,5.800,20.4,60.2
43.88,44.32,43.43,5.901,20.7,60.0
43.70,44.13,43.28,6.000,21.1,59.8
43.70,44.44,42.96,6.099,21.3,59.7
43.73,43.56,43.90,6.200,21.7,59.4
43.98,43.70,44.25,6.300,22.0,59.3
44.05,44.07,44.03,6.400,22.3,59.0
44.08,44.30,43.86,6.500,22.7,58.7
43.40,43.81,42.99,6.600,22.9,58.5
44.02,44.76,43.28,6.700,23.2,58.3
44.16,44.60,43.72,6.799,23.5,57.9
43.59,43.65,43.53,6.900,23.8,57.6
43.53,43.86,43.21,7.000,24.0,57.2
43.73,43.87,43.60,7.100,24.5,57.0
43.64,43.74,43.54,7.199,24.8,56.6
43.93,43.74,44.11,7.300,25.2,56.3
43.97,44.17,43.78,7.400,25.5,55.9
43.66,44.10,43.22,7.500,25.9,55.4
43.46,44.12,42.80,7.599,26.3,55.1
43.34,43.96,42.72,7.700,26.6,54.6
44.00,44.49,43.50,7.800,26.8,54.1
44.07,44.33,43.81,7.900,26.9,53.7
43.74,43.22,44.26,8.000,27.2,53.1
43.67,43.82,43.51,8.100,27.7,52.4
43.48,44.00,42.96,8.200,28.2,51.7
69.85,69.69,70.01,0.000,15.7,61.4
70.02,69.56,70.49,0.100,15.7,61.4
69.92,69.53,70.32,0.199,15.7,61.4
70.02,70.01,70.03,0.300,15.7,61.4
70.24,69.83,70.64,0.400,15.7,61.4
69.85,69.41,70.30,0.500,15.7,61.4
69.18,68.78,69.58,0.599,15.8,61.4
69.79,69.07,70.51,0.700,15.7,61.4
69.58,69.10,70.06,0.800,15.7,61.4
69.21,68.45,69.97,0.900,15.7,61.4
68.70,68.09,69.31,0.999,15.7,61.4
68.65,68.13,69.18,1.100,15.7,61.4
68.36,67.78,68.95,1.200,15.7,61.4
67.85,67.15,68.55,1.300,15.8,61.4
66.94,66.68,67.20,1.400,15.8,61.4
66.34,65.96,66.73,1.500,15.8,61.4
65.95,65.36,66.55,1.600,15.7,61.4
65.22,64.91,65.53,1.699,15.7,61.4
65.02,64.82,65.21,1.800,15.7,61.4
64.19,63.70,64.68,1.900,15.7,61.4
63.49,63.76,63.23,2.000,15.8,61.4
62.20,61.61,62.80,2.100,15.8,61.3
62.07,61.88,62.26,2.200,15.8,61.4
61.15,61.08,61.21,2.300,15.7,61.4
59.93,59.39,60.47,2.400,15.7,61.4
58.70,58.17,59.23,2.500,15.7,61.4
58.17,57.13,59.21,2.600,15.7,61.4
57.83,57.69,57.97,2.700,15.8,61.4
56.14,56.03,56.26,2.800,15.7,61.4
55.48,54.27,56.70,2.899,15.7,61.4
54.72,54.04,55.40,3.000,15.7,61.4
53.36,52.37,54.35,3.100,15.7,61.4
52.60,51.79,53.41,3.200,15.7,61.4
51.56,50.59,52.53,3.300,15.7,61.4
51.06,50.19,51.93,3.400,15.7,61.4
50.52,49.62,51.42,3.500,15.8,61.4
49.30,48.46,50.14,3.599,15.7,61.4
48.39,47.44,49.34,3.700,15.7,61.4
47.57,47.24,47.90,3.800,15.8,61.4
46.53,45.57,47.49,3.900,15.8,61.4
46.45,45.92,46.99,3.999,15.8,61.4
45.41,44.35,46.47,4.100,15.7,61.4
44.84,44.51,45.18,4.200,15.9,61.4
44.64,43.56,45.72,4.300,16.0,61.4
44.87,44.54,45.21,4.399,16.5,61.2
45.05,44.22,45.88,4.500,16.6,61.3
43.96,42.87,45.06,4.600,16.8,61.3
44.15,43.02,45.29,4.699,17.2,61.1
44.16,43.29,45.03,4.799,17.5,61.0
43.55,42.64,44.46,4.900,17.7,60.9
43.48,42.51,44.46,5.000,18.0,60.7
43.23,41.95,44.50,5.099,18.3,60.5
43.63,42.50,44.75,5.200,18.7,60.3
43.33,42.24,44.42,5.300,18.9,60.2
43.76,43.03,44.50,5.400,19.1,60.0
44.80,43.27,46.32,5.499,19.4,59.8
44.16,44.20,44.12,5.600,19.7,59.6
44.48,44.96,44.01,5.700,20.1,59.3
44.11,43.58,44.64,5.800,20.1,59.1
43.87,43.57,44.16,5.899,20.4,58.7
43.96,44.36,43.56,6.000,20.7,58.6
45.00,44.43,45.57,6.100,20.9,58.2
44.02,43.92,44.12,6.200,21.2,57.9
43.97,43.55,44.39,6.300,21.5,57.6
43.78,43.24,44.33,6.400,21.8,57.4
44.08,43.28,44.87,6.500,22.2,57.0
44.03,43.58,44.48,6.599,22.5,56.8
43.32,43.11,43.52,6.700,22.8,56.4
43.94,42.99,44.88,6.800,23.2,56.1
43.78,43.79,43.77,6.900,23.5,55.7
43.18,41.98,44.38,6.999,23.8,55.4
43.30,42.50,44.09,7.100,24.3,55.0
42.69,41.96,43.42,7.200,24.7,54.6
42.65,42.37,42.93,7.300,25.1,54.2
42.97,42.33,43.62,7.400,25.5,53.7
42.77,42.06,43.49,7.500,25.9,53.2
42.07,40.94,43.19,7.600,26.4,52.7
41.24,39.92,42.57,7.700,26.9,52.3
41.41,40.06,42.76,7.799,27.4,51.7
40.25,39.88,40.62,7.900,28.0,51.2
66.36,66.30,66.42,0.000,17.2,63.5
66.47,66.78,66.16,0.100,17.2,63.5
66.66,66.60,66.71,0.200,17.2,63.5
66.61,67.18,66.04,0.301,17.3,63.5
66.90,67.18,66.62,0.400,17.3,63.5
66.37,66.19,66.55,0.501,17.3,63.5
66.54,66.73,66.36,0.601,17.2,63.5
66.47,66.52,66.41,0.700,17.2,63.5
66.54,66.65,66.42,0.800,17.2,63.5
66.83,67.30,66.35,0.900,17.2,63.5
66.25,66.03,66.47,1.000,17.3,63.5
66.59,66.68,66.50,1.100,17.2,63.5
66.28,66.18,66.37,1.200,17.2,63.5
66.56,66.61,66.51,1.300,17.3,63.5
66.46,66.61,66.32,1.400,17.2,63.5
66.43,66.45,66.40,1.500,17.2,63.5
66.30,66.52,66.08,1.600,17.3,63.5
66.26,66.52,66.01,1.700,17.2,63.5
66.38,66.70,66.06,1.800,17.3,63.5
65.38,65.92,64.83,1.900,17.2,63.5
65.20,65.56,64.83,2.001,17.2,63.5
64.85,64.92,64.78,2.101,17.2,63.5
64.68,64.99,64.37,2.200,17.3,63.5
64.01,64.49,63.54,2.300,17.3,63.5
63.61,64.12,63.09,2.400,17.3,63.5
62.77,62.97,62.58,2.500,17.2,63.5
62.51,63.09,61.92,2.600,17.3,63.5
61.90,61.98,61.82,2.700,17.3,63.5
61.34,61.87,60.82,2.800,17.3,63.5
60.73,61.81,59.65,2.900,17.3,63.5
59.46,60.29,58.64,3.000,17.2,63.5
59.17,59.37,58.96,3.100,17.3,63.5
58.14,57.93,58.35,3.200,17.2,63.5
57.43,57.93,56.94,3.300,17.3,63.5
56.67,57.26,56.08,3.400,17.2,63.5
55.57,56.07,55.06,3.500,17.3,63.5
54.86,54.98,54.75,3.601,17.3,63.5
53.75,54.04,53.46,3.700,17.3,63.5
53.14,52.99,53.28,3.800,17.3,63.5
51.89,52.48,51.29,3.900,17.2,63.5
52.24,52.66,51.82,4.001,17.3,63.5
50.50,51.35,49.66,4.100,17.3,63.5
50.53,50.46,50.60,4.200,17.3,63.5
48.80,49.22,48.38,4.301,17.3,63.5
48.07,48.16,47.98,4.400,17.2,63.5
46.94,47.13,46.75,4.500,17.3,63.5
45.76,45.99,45.54,4.600,17.3,63.5
45.74,47.23,44.24,4.701,17.3,63.5
44.71,45.50,43.92,4.800,17.3,63.6
43.85,43.43,44.27,4.900,17.3,63.4
42.87,42.51,43.23,5.000,17.3,63.4
42.93,43.37,42.50,5.101,17.5,63.5
41.92,41.96,41.89,5.200,17.7,63.4
42.29,42.78,41.79,5.300,18.0,63.2
41.71,42.29,41.13,5.400,18.2,63.1
42.16,41.79,42.54,5.500,18.4,62.9
42.03,42.44,41.62,5.600,18.7,62.8
42.63,42.86,42.40,5.700,19.0,62.6
41.93,42.80,41.06,5.800,19.2,62.4
41.60,41.87,41.32,5.900,19.4,62.3
42.62,42.93,42.31,6.000,19.7,62.0
42.17,42.44,41.90,6.100,19.9,61.8
42.23,42.82,41.65,6.200,20.2,61.6
42.72,43.86,41.58,6.300,20.4,61.3
42.30,43.31,41.28,6.400,20.6,61.1
42.20,42.41,41.98,6.500,20.7,60.8
41.71,42.30,41.12,6.601,21.0,60.5
42.53,42.99,42.07,6.700,21.2,60.2
42.25,42.15,42.35,6.800,21.5,59.9
42.47,43.28,41.66,6.900,21.8,59.6
42.46,42.60,42.32,7.000,22.0,59.3
42.02,42.58,41.46,7.100,22.2,59.0
42.49,43.45,41.54,7.200,22.4,58.7
42.15,42.84,41.45,7.300,22.6,58.4
41.56,41.67,41.46,7.400,22.9,58.0
42.00,42.95,41.04,7.500,23.2,57.7
41.25,41.98,40.51,7.601,23.4,57.3
40.82,41.72,39.92,7.701,23.7,57.0
40.74,41.40,40.09,7.800,24.0,56.6
41.43,41.91,40.95,7.900,24.3,56.2
41.28,41.60,40.96,8.000,24.6,55.8
41.32,41.78,40.86,8.101,25.0,55.4
40.56,40.76,40.36,8.200,25.3,55.0
40.10,40.94,39.27,8.300,25.7,54.6
39.88,40.40,39.36,8.400,26.1,54.1
39.28,40.15,38.40,8.500,26.6,53.6
39.09,39.55,38.63,8.600,27.0,53.1
61.02,63.68,58.36,0.000,18.2,65.0
61.93,64.73,59.13,0.100,18.2,65.0
61.41,63.57,59.25,0.199,18.2,65.0
61.51,63.99,59.02,0.299,18.2,65.0
61.22,63.05,59.38,0.400,18.2,65.0
61.19,63.81,58.58,0.500,18.2,65.0
61.62,64.31,58.93,0.599,18.2,65.0
61.28,63.86,58.70,0.699,18.2,65.0
61.71,64.34,59.08,0.800,18.2,65.0
61.26,63.58,58.94,0.900,18.2,64.9
61.33,63.79,58.87,0.999,18.2,65.0
61.21,63.79,58.63,1.100,18.2,65.0
60.85,63.43,58.27,1.200,18.2,65.0
60.34,62.54,58.14,1.300,18.2,65.0
60.43,63.17,57.69,1.399,18.2,64.9
59.72,62.48,56.97,1.499,18.2,65.0
59.96,62.84,57.08,1.600,18.2,65.0
58.45,60.89,56.01,1.699,18.2,65.0
58.73,61.15,56.32,1.799,18.2,65.0
57.73,59.98,55.48,1.899,18.2,64.9
57.13,60.03,54.23,2.000,18.2,65.0
56.03,58.34,53.71,2.099,18.2,65.0
55.84,58.29,53.38,2.199,18.2,65.0
55.04,57.09,53.00,2.299,18.1,65.0
54.31,57.05,51.58,2.400,18.1,65.0
53.77,56.06,51.49,2.499,18.2,65.0
52.40,54.85,49.95,2.599,18.2,65.0
52.26,54.96,49.55,2.700,18.2,65.0
52.01,54.13,49.88,2.800,18.2,65.0
50.40,52.70,48.09,2.899,18.1,65.0
49.50,51.66,47.33,2.999,18.2,64.9
48.30,50.86,45.75,3.100,18.2,64.9
48.18,49.86,46.50,3.200,18.2,65.0
46.76,49.37,44.15,3.299,18.2,65.0
45.47,48.09,42.85,3.399,18.2,64.9
45.15,47.52,42.77,3.500,18.2,65.0
44.69,47.19,42.18,3.599,18.2,65.0
42.82,44.69,40.94,3.699,18.2,64.9
42.75,44.80,40.69,3.799,18.2,65.0
41.84,44.45,39.24,3.900,18.2,65.0
41.59,44.27,38.90,3.999,18.2,64.9
40.12,42.49,37.74,4.099,18.2,64.9
39.76,42.09,37.44,4.200,18.3,64.8
39.67,42.14,37.21,4.300,18.3,64.6
38.83,40.21,37.44,4.399,18.4,64.3
39.91,41.89,37.92,4.499,18.5,64.1
40.07,41.97,38.17,4.600,18.7,63.7
39.89,41.91,37.88,4.700,18.9,63.5
39.94,42.06,37.82,4.799,19.0,63.4
38.62,40.47,36.76,4.899,19.2,63.2
39.81,41.72,37.91,5.000,19.3,62.9
39.58,41.82,37.34,5.099,19.6,62.7
39.30,41.21,37.38,5.199,19.8,62.4
39.25,41.51,36.99,5.299,20.0,62.3
39.39,41.17,37.61,5.400,20.2,62.1
39.11,40.94,37.27,5.499,20.4,61.8
39.34,41.02,37.65,5.599,20.7,61.4
39.02,41.01,37.04,5.700,20.8,61.2
39.15,41.03,37.26,5.800,21.1,60.9
39.24,41.19,37.28,5.899,21.3,60.7
39.18,40.68,37.68,5.999,21.4,60.2
39.54,40.69,38.40,6.100,21.6,59.9
40.13,41.27,38.99,6.199,21.8,59.4
39.85,40.81,38.90,6.299,22.1,59.0
39.52,40.48,38.55,6.399,22.3,58.6
39.61,40.49,38.74,6.500,22.5,58.1
40.62,41.39,39.85,6.599,22.7,57.6
39.57,40.48,38.65,6.699,22.8,57.1
39.59,39.56,39.62,6.799,23.1,56.6
39.69,39.87,39.50,6.900,23.3,56.2
39.25,39.09,39.41,6.999,23.6,55.8
39.71,39.13,40.29,7.099,23.9,55.3
39.66,39.39,39.93,7.199,24.2,55.0
38.82,38.09,39.55,7.300,24.5,54.6
38.59,36.85,40.33,7.399,24.8,54.2
38.26,37.07,39.45,7.499,25.2,53.7
36.61,35.28,37.93,7.599,25.6,53.3
36.55,36.29,36.81,7.699,26.1,52.9
35.51,34.99,36.03,7.799,26.5,52.4
34.41,34.18,34.65,7.899,27.0,51.9
33.41,33.51,33.30,8.000,27.6,51.2
73.36,73.53,73.18,0.000,19.3,62.6
73.21,73.57,72.84,0.100,19.3,62.7
73.11,73.38,72.83,0.200,19.3,62.8
72.67,72.73,72.62,0.300,19.3,62.9
73.11,73.60,72.63,0.400,19.3,62.9
73.40,73.68,73.12,0.501,19.3,63.0
73.00,73.22,72.79,0.600,19.3,63.0
73.06,73.13,72.99,0.700,19.3,63.1
73.16,73.52,72.81,0.800,19.3,63.1
72.79,73.05,72.54,0.900,19.3,63.1
72.82,72.99,72.65,1.000,19.3,63.1
72.54,72.34,72.74,1.100,19.3,63.2
72.55,72.88,72.21,1.200,19.3,63.2
72.11,71.93,72.30,1.301,19.3,63.1
72.03,72.35,71.70,1.400,19.3,63.1
71.31,71.65,70.97,1.500,19.3,63.2
70.98,71.53,70.43,1.600,19.3,63.2
70.31,70.66,69.96,1.701,19.3,63.2
70.31,70.45,70.16,1.800,19.3,63.2
69.52,69.75,69.29,1.900,19.3,63.2
69.47,69.91,69.02,2.000,19.3,63.2
68.41,68.79,68.04,2.100,19.3,63.2
67.33,67.81,66.85,2.200,19.3,63.2
66.86,67.33,66.38,2.300,19.3,63.2
66.06,66.88,65.24,2.400,19.3,63.2
65.26,65.69,64.82,2.500,19.3,63.2
64.40,65.03,63.76,2.600,19.3,63.1
63.53,64.44,62.63,2.700,19.3,63.1
63.33,64.67,61.98,2.801,19.3,63.2
62.37,63.60,61.14,2.900,19.3,63.2
61.27,62.65,59.88,3.000,19.3,63.2
60.52,61.38,59.65,3.100,19.3,63.2
59.20,59.48,58.93,3.200,19.3,63.1
58.09,59.20,56.98,3.301,19.3,63.1
57.10,57.49,56.70,3.400,19.3,63.1
56.09,56.80,55.38,3.500,19.3,63.2
54.95,55.69,54.20,3.600,19.3,63.1
54.28,55.11,53.45,3.700,19.3,63.2
53.53,54.18,52.87,3.800,19.3,63.2
51.79,52.52,51.06,3.900,19.3,63.1
50.99,51.20,50.78,4.001,19.3,63.2
50.67,52.05,49.29,4.100,19.3,63.2
49.41,50.29,48.54,4.200,19.3,63.2
48.25,49.13,47.37,4.300,19.3,63.2
47.66,48.49,46.83,4.401,19.3,63.2
46.05,46.75,45.34,4.500,19.3,63.2
45.88,46.73,45.04,4.600,19.3,63.2
44.16,44.72,43.59,4.701,19.3,63.2
43.87,44.23,43.51,4.800,19.4,63.1
44.47,44.94,44.00,4.900,19.6,62.9
42.85,43.66,42.04,5.000,19.7,62.8
43.60,44.61,42.58,5.101,19.9,62.6
43.03,44.32,41.74,5.200,20.1,62.4
43.62,44.17,43.07,5.300,20.3,62.2
42.92,44.24,41.61,5.400,20.5,62.0
42.13,43.10,41.15,5.500,20.7,61.8
42.34,43.25,41.44,5.600,20.9,61.6
42.17,43.39,40.95,5.700,21.1,61.4
42.44,43.37,41.51,5.801,21.3,61.2
41.31,41.74,40.87,5.901,21.5,61.0
42.39,43.05,41.73,6.000,21.7,60.9
41.56,42.57,40.54,6.100,21.9,60.7
40.85,41.76,39.94,6.200,22.2,60.5
41.49,42.93,40.06,6.300,22.5,60.2
41.79,42.84,40.73,6.400,22.7,59.9
41.22,42.61,39.82,6.500,22.9,59.7
41.04,42.87,39.21,6.600,23.2,59.5
40.78,42.32,39.24,6.700,23.4,59.0
41.29,43.62,38.96,6.800,23.6,58.8
42.11,44.48,39.74,6.900,23.9,58.4
41.17,43.40,38.95,7.001,24.1,58.0
41.22,43.01,39.42,7.100,24.3,57.6
40.72,42.08,39.36,7.200,24.5,57.2
40.85,42.35,39.36,7.300,24.8,56.7
40.87,42.06,39.67,7.400,25.3,56.2
40.08,41.69,38.46,7.500,25.9,55.9
40.23,41.71,38.74,7.600,26.4,55.5
39.90,41.32,38.48,7.700,26.8,55.0
39.43,41.10,37.76,7.800,27.3,54.7
39.15,40.44,37.86,7.900,27.7,54.1
39.56,41.31,37.81,8.000,28.2,53.5
39.00,40.32,37.68,8.101,28.6,52.8
72.91,73.00,72.83,0.000,18.4,62.4
72.53,71.87,73.18,0.100,18.4,62.4
72.74,72.52,72.96,0.199,18.4,62.4
72.36,72.15,72.56,0.299,18.4,62.4
72.06,71.80,72.32,0.399,18.4,62.4
70.93,70.44,71.43,0.500,18.4,62.4
70.65,71.25,70.06,0.599,18.4,62.4
70.37,70.18,70.56,0.699,18.4,62.4
69.31,68.71,69.90,0.799,18.4,62.4
68.80,68.97,68.63,0.900,18.4,62.3
68.08,67.55,68.61,0.999,18.4,62.4
67.44,67.29,67.59,1.099,18.4,62.4
67.03,67.09,66.97,1.200,18.5,62.4
65.84,66.07,65.61,1.300,18.4,62.3
65.41,65.06,65.76,1.399,18.5,62.4
64.52,64.22,64.82,1.499,18.4,62.4
63.55,63.73,63.38,1.600,18.4,62.4
62.79,63.77,61.80,1.699,18.4,62.4
61.97,62.38,61.56,1.799,18.4,62.4
