CA(m) [°],CA(l) [°],CA(r) [°],Elapsed time [s],Three-phase point (l) [mm],Three-phase point (r) [mm]
58.82,58.26,59.37,4.400,18.2,62.5
57.79,57.49,58.10,4.500,18.2,62.6
56.26,56.17,56.35,4.600,18.2,62.5
55.57,54.86,56.28,4.699,18.2,62.5
53.95,53.81,54.09,4.800,18.3,62.6
53.09,53.27,52.91,4.900,18.3,62.6
52.40,52.35,52.45,5.000,18.3,62.5
50.33,50.23,50.43,5.100,18.3,62.5
50.05,49.60,50.49,5.200,18.2,62.5
49.19,49.06,49.32,5.300,18.3,62.6
48.21,48.49,47.93,5.400,18.3,62.6
48.44,48.81,48.06,5.500,18.2,62.5
46.51,46.41,46.61,5.600,18.2,62.5
46.16,45.49,46.83,5.700,18.2,62.5
44.91,44.67,45.15,5.799,18.2,62.5
43.72,43.51,43.92,5.900,18.2,62.5
42.88,42.56,43.19,6.000,18.3,62.5
41.71,41.92,41.51,6.101,18.3,62.5
42.15,42.83,41.46,6.200,18.4,62.4
40.99,41.05,40.94,6.300,18.5,62.4
41.63,41.45,41.81,6.400,18.9,62.3
41.72,41.78,41.66,6.501,19.0,62.1
41.74,41.86,41.62,6.599,19.3,61.8
41.25,41.11,41.40,6.700,19.3,61.7
40.22,40.27,40.16,6.800,19.6,61.5
40.68,40.85,40.52,6.900,19.7,61.4
39.46,38.75,40.16,7.000,19.8,61.2
39.06,39.11,39.00,7.100,19.9,61.1
38.59,38.21,38.98,7.200,20.1,60.9
38.17,38.69,37.66,7.300,20.4,60.8
37.64,37.66,37.61,7.400,20.5,60.6
36.57,36.19,36.96,7.500,20.6,60.5
36.59,35.66,37.53,7.600,20.8,60.3
36.01,35.93,36.09,7.700,21.0,60.1
34.96,34.77,35.16,7.800,21.2,60.0
34.35,33.98,34.71,7.900,21.3,59.8
34.14,33.57,34.70,8.001,21.6,59.5
33.39,32.46,34.31,8.100,21.7,59.3
32.54,31.42,33.65,8.200,21.9,59.2
31.44,30.46,32.42,8.300,22.2,58.9
31.12,31.17,31.07,8.400,22.5,58.7
29.83,29.50,30.16,8.500,22.7,58.4
29.15,29.19,29.11,8.600,23.0,58.1
28.61,28.55,28.67,8.700,23.3,57.9
27.30,27.52,27.09,8.800,23.7,57.4
26.61,26.71,26.52,8.900,24.0,57.2
25.42,25.50,25.34,9.000,24.3,56.9
24.25,24.66,23.84,9.100,24.8,56.3
22.96,23.40,22.52,9.200,25.2,55.9
22.04,22.24,21.85,9.300,25.7,55.4
20.33,21.14,19.51,9.400,26.2,54.8
68.06,67.40,68.73,0.000,16.9,61.0
68.02,67.45,68.60,0.100,16.9,61.1
68.17,67.27,69.06,0.199,16.9,61.1
68.09,67.69,68.49,0.300,16.9,61.0
67.93,67.27,68.58,0.400,16.9,61.0
68.16,67.34,68.99,0.500,16.9,61.0
68.07,67.49,68.66,0.599,16.9,61.1
67.90,66.94,68.86,0.700,16.9,61.0
68.01,67.00,69.02,0.800,16.9,61.1
68.05,67.32,68.77,0.900,16.9,61.0
67.90,67.00,68.80,0.999,16.9,61.0
67.39,66.43,68.35,1.100,16.9,61.0
67.89,66.92,68.87,1.200,16.9,61.0
68.12,67.36,68.89,1.301,16.9,61.0
67.83,67.11,68.55,1.399,16.9,61.0
68.08,67.42,68.74,1.500,16.9,61.0
68.00,67.19,68.82,1.600,16.9,61.0
67.74,67.09,68.39,1.699,16.9,61.1
68.34,67.92,68.76,1.800,16.9,61.1
68.09,67.59,68.58,1.900,16.9,61.0
67.81,67.04,68.59,2.000,16.9,61.0
67.19,66.46,67.92,2.099,16.9,61.0
67.27,66.65,67.90,2.199,16.9,61.0
66.30,65.66,66.94,2.300,16.9,61.1
65.59,64.91,66.27,2.400,16.9,61.1
65.02,64.13,65.90,2.499,16.9,61.1
64.64,64.20,65.09,2.600,16.9,61.0
63.34,62.79,63.89,2.700,16.9,61.0
62.97,62.26,63.68,2.800,16.9,61.1
61.96,61.39,62.54,2.899,16.9,61.1
61.18,60.68,61.68,3.000,16.9,61.1
60.05,59.46,60.64,3.100,16.9,61.0
58.32,57.85,58.79,3.199,16.9,61.0
57.31,56.45,58.17,3.300,16.9,61.0
57.16,56.64,57.67,3.400,16.9,61.0
55.79,54.96,56.62,3.500,16.9,61.0
55.13,54.04,56.23,3.599,16.9,61.0
53.97,53.10,54.84,3.699,16.9,61.0
52.23,51.97,52.49,3.800,16.9,61.0
52.09,51.77,52.42,3.900,16.9,61.0
50.43,50.40,50.46,3.999,16.9,61.0
49.53,48.60,50.45,4.100,16.9,61.0
48.56,47.44,49.68,4.200,16.9,61.0
47.71,46.58,48.85,4.300,16.9,61.0
47.21,46.00,48.43,4.399,16.9,61.0
45.64,44.41,46.87,4.500,16.9,61.0
44.65,43.55,45.74,4.600,16.9,61.0
43.85,42.39,45.31,4.699,16.9,61.0
42.21,40.71,43.71,4.799,16.9,61.0
42.51,41.11,43.91,4.900,16.9,60.9
40.77,39.72,41.82,5.000,16.9,61.1
40.14,38.80,41.48,5.099,17.0,61.0
38.62,37.58,39.66,5.199,17.0,61.0
38.14,38.32,37.95,5.300,17.0,61.0
36.92,35.75,38.08,5.400,17.0,61.0
36.53,34.91,38.14,5.499,17.0,60.9
36.03,34.00,38.06,5.600,17.4,60.9
36.41,35.47,37.35,5.700,18.0,60.9
35.79,36.59,34.98,5.800,18.5,60.9
35.62,36.58,34.66,5.900,18.7,60.9
34.97,34.91,35.02,6.000,19.0,60.4
35.47,35.16,35.78,6.100,19.2,60.0
35.36,35.34,35.37,6.199,19.4,59.6
35.22,34.33,36.10,6.299,19.5,59.4
34.76,33.57,35.95,6.400,19.7,59.1
33.94,33.86,34.01,6.500,20.0,58.9
33.01,32.37,33.66,6.599,20.1,58.7
33.18,32.67,33.68,6.700,20.3,58.4
31.60,31.73,31.48,6.800,20.6,58.3
32.30,31.20,33.41,6.900,20.9,58.1
31.17,29.58,32.77,7.000,21.1,57.8
29.82,29.30,30.35,7.100,21.4,57.6
29.18,28.73,29.63,7.200,21.6,57.3
28.81,28.39,29.22,7.299,21.9,57.1
27.40,27.01,27.79,7.399,22.3,56.8
26.42,25.86,26.99,7.500,22.6,56.3
25.69,25.69,25.69,7.600,22.9,56.0
24.61,24.65,24.58,7.699,23.2,55.6
23.16,23.43,22.89,7.800,23.6,55.2
21.83,21.86,21.80,7.900,23.9,54.7
20.67,20.33,21.01,8.000,24.4,54.1
72.94,73.12,72.75,0.000,18.2,61.9
72.02,72.08,71.97,0.100,18.1,61.9
72.00,71.99,72.02,0.200,18.2,61.9
71.15,71.34,70.96,0.300,18.2,61.9
70.82,71.31,70.33,0.400,18.2,61.9
69.77,70.04,69.50,0.501,18.2,61.9
69.18,69.30,69.07,0.600,18.2,62.0
67.99,68.07,67.91,0.700,18.2,62.0
66.98,66.73,67.22,0.800,18.2,62.0
66.16,66.11,66.20,0.901,18.2,61.9
65.59,65.29,65.89,1.000,18.2,61.9
64.74,64.90,64.59,1.114,18.2,62.0
63.77,63.68,63.86,1.200,18.1,61.9
62.88,62.73,63.02,1.301,18.2,61.9
61.89,62.30,61.48,1.400,18.2,62.0
60.78,60.43,61.14,1.500,18.2,61.9
59.91,59.96,59.85,1.600,18.2,61.9
58.52,58.47,58.57,1.700,18.2,61.9
57.59,57.84,57.33,1.800,18.2,61.9
56.76,57.46,56.06,1.900,18.2,61.9
55.59,55.63,55.55,2.000,18.2,61.9
54.06,54.24,53.89,2.100,18.2,61.9
53.35,53.25,53.46,2.200,18.2,61.9
52.09,52.66,51.53,2.300,18.2,62.0
51.68,51.80,51.56,2.401,18.2,61.9
50.75,50.50,51.00,2.500,18.2,61.9
50.03,50.33,49.73,2.600,18.2,61.9
49.68,50.01,49.35,2.700,18.2,61.9
47.63,47.34,47.92,2.800,18.2,61.9
47.10,47.09,47.12,2.900,18.2,61.9
46.07,44.82,47.33,3.000,18.2,61.8
46.03,45.87,46.19,3.100,18.4,61.7
45.98,46.23,45.74,3.200,18.5,61.7
44.85,45.20,44.51,3.300,18.7,61.5
44.20,44.41,43.99,3.400,18.9,61.3
44.08,44.33,43.82,3.501,18.9,61.3
43.34,43.63,43.04,3.600,19.1,61.1
43.13,43.37,42.90,3.700,19.2,60.9
43.49,43.80,43.18,3.800,19.5,60.8
42.88,43.27,42.49,3.900,19.6,60.6
42.53,42.66,42.40,4.000,19.9,60.4
42.81,42.69,42.93,4.100,20.1,60.1
42.45,42.89,42.02,4.200,20.3,59.9
43.60,43.92,43.29,4.300,20.5,59.7
43.27,42.76,43.79,4.400,20.7,59.4
42.69,43.07,42.32,4.500,21.0,59.1
42.20,41.56,42.83,4.601,21.2,59.0
42.94,42.67,43.21,4.700,21.4,58.6
42.09,41.65,42.52,4.800,21.6,58.4
41.86,41.19,42.54,4.900,21.8,58.2
41.94,41.88,42.00,5.000,22.1,57.9
42.43,42.70,42.17,5.100,22.4,57.7
41.89,41.44,42.33,5.200,22.6,57.4
41.54,41.29,41.78,5.300,22.9,57.1
41.82,41.26,42.38,5.401,23.1,56.8
40.18,40.56,39.81,5.500,23.5,56.6
40.15,40.54,39.75,5.600,23.7,56.2
40.93,40.87,40.99,5.700,24.1,55.7
41.02,41.38,40.66,5.800,24.4,55.4
40.06,39.83,40.28,5.900,24.8,55.0
39.96,39.75,40.17,6.000,25.2,54.6
39.85,39.51,40.19,6.100,25.5,54.1
39.09,38.88,39.30,6.200,25.9,53.6
39.92,40.07,39.76,6.300,26.3,53.1
38.59,38.96,38.23,6.400,26.8,52.5
38.76,39.17,38.36,6.500,27.4,51.9
73.99,73.40,74.57,0.000,17.9,61.8
73.56,73.36,73.76,0.100,17.9,61.8
73.08,72.88,73.27,0.199,17.9,61.8
72.52,72.84,72.20,0.299,17.9,61.8
71.88,71.90,71.86,0.400,17.9,61.8
71.32,71.29,71.35,0.500,17.9,61.8
70.49,70.39,70.60,0.599,17.9,61.8
69.84,69.80,69.88,0.700,17.9,61.8
68.76,68.84,68.68,0.800,17.9,61.8
67.65,67.24,68.07,0.900,17.9,61.8
67.19,67.14,67.24,1.000,17.9,61.8
66.64,66.52,66.77,1.100,17.9,61.8
65.11,64.86,65.35,1.200,17.9,61.8
64.46,64.66,64.27,1.300,17.9,61.8
63.26,63.19,63.32,1.399,17.9,61.8
62.72,63.05,62.39,1.500,17.9,61.8
61.09,60.96,61.22,1.600,17.9,61.8
60.17,60.55,59.80,1.699,17.9,61.8
59.09,58.99,59.19,1.799,17.9,61.7
57.87,57.96,57.78,1.900,17.9,61.8
57.28,56.83,57.74,2.000,17.9,61.8
56.17,55.87,56.48,2.100,17.9,61.8
55.03,55.29,54.78,2.200,17.9,61.8
53.80,54.13,53.47,2.300,17.9,61.8
53.71,53.04,54.38,2.400,17.9,61.8
52.09,51.79,52.39,2.499,17.9,61.8
50.48,50.62,50.35,2.600,17.9,61.8
49.92,49.94,49.91,2.700,17.9,61.8
49.41,48.99,49.82,2.799,17.9,61.8
48.36,48.39,48.33,2.900,17.9,61.8
46.90,47.28,46.51,3.000,18.0,61.8
46.92,46.40,47.44,3.100,17.9,61.8
46.04,46.10,45.99,3.200,18.0,61.7
45.51,45.21,45.80,3.299,18.1,61.6
44.63,44.50,44.77,3.400,18.2,61.6
44.27,43.80,44.75,3.500,18.3,61.4
44.21,44.60,43.82,3.599,18.4,61.4
43.51,43.59,43.43,3.699,18.5,61.4
43.04,43.07,43.01,3.800,18.5,61.2
42.98,42.58,43.38,3.901,18.8,61.0
42.54,42.08,43.01,4.000,18.9,60.9
41.95,42.71,41.19,4.100,19.0,60.8
42.04,41.90,42.18,4.200,19.2,60.5
42.13,42.29,41.97,4.300,19.4,60.3
40.90,41.31,40.48,4.399,19.6,60.1
41.36,40.71,42.02,4.500,19.7,59.9
41.57,41.29,41.85,4.600,20.0,59.6
40.59,39.98,41.21,4.699,20.2,59.4
40.15,40.03,40.27,4.799,20.4,59.1
40.73,40.30,41.17,4.900,20.6,58.9
40.75,40.98,40.52,5.000,21.0,58.6
41.51,41.45,41.57,5.100,21.2,58.3
40.40,39.28,41.52,5.199,21.5,58.2
40.15,40.34,39.97,5.300,21.9,57.9
40.69,40.26,41.11,5.400,22.0,57.5
39.64,39.90,39.39,5.499,22.4,57.2
40.05,40.17,39.93,5.599,22.6,56.9
39.48,40.03,38.93,5.700,23.0,56.6
39.17,39.38,38.97,5.800,23.3,56.3
39.96,39.46,40.46,5.899,23.6,55.9
38.41,38.57,38.25,6.000,24.0,55.5
39.02,39.05,38.99,6.100,24.4,55.1
38.56,38.60,38.52,6.199,24.8,54.7
37.91,37.35,38.47,6.299,25.3,54.2
38.05,37.47,38.63,6.400,25.6,53.7
38.15,37.60,38.70,6.500,26.1,53.2
71.13,71.74,70.52,0.000,20.6,65.3
71.13,72.03,70.23,0.100,20.6,65.3
71.19,72.13,70.25,0.200,20.6,65.3
71.16,72.00,70.33,0.300,20.6,65.3
71.19,71.95,70.43,0.400,20.6,65.3
71.01,71.54,70.48,0.500,20.6,65.3
70.84,71.39,70.29,0.600,20.6,65.3
71.02,71.21,70.82,0.700,20.6,65.3
71.08,71.73,70.43,0.800,20.6,65.3
71.15,71.86,70.44,0.900,20.6,65.3
70.88,71.34,70.41,1.000,20.6,65.3
71.00,71.84,70.15,1.100,20.6,65.3
70.66,71.27,70.05,1.200,20.6,65.3
70.28,70.96,69.61,1.300,20.6,65.3
69.52,70.26,68.78,1.399,20.6,65.3
69.25,70.44,68.06,1.500,20.6,65.3
68.12,69.00,67.24,1.600,20.6,65.3
67.20,67.20,67.21,1.700,20.6,65.3
66.56,67.08,66.03,1.799,20.6,65.3
66.02,67.15,64.88,1.900,20.6,65.3
64.83,65.30,64.36,2.000,20.6,65.3
63.91,64.41,63.41,2.100,20.6,65.3
62.98,63.89,62.06,2.200,20.6,65.3
61.94,63.62,60.27,2.300,20.6,65.3
60.88,62.29,59.48,2.400,20.6,65.3
59.87,61.14,58.60,2.500,20.6,65.3
59.29,60.83,57.74,2.600,20.6,65.3
57.89,59.52,56.26,2.700,20.6,65.3
56.81,58.08,55.54,2.800,20.6,65.3
56.11,57.39,54.82,2.899,20.6,65.3
54.51,56.70,52.33,3.000,20.6,65.3
54.19,55.52,52.85,3.100,20.6,65.3
52.87,54.92,50.81,3.200,20.6,65.3
52.35,53.85,50.85,3.299,20.6,65.3
51.68,53.79,49.58,3.400,20.6,65.3
49.99,51.87,48.12,3.500,20.6,65.3
49.73,51.78,47.67,3.600,20.6,65.3
48.76,50.62,46.91,3.700,20.6,65.3
47.32,49.52,45.13,3.803,20.6,65.4
46.81,48.60,45.02,3.900,20.6,65.3
46.38,47.96,44.80,4.000,20.6,65.3
45.33,46.85,43.80,4.100,20.6,65.3
43.41,45.63,41.19,4.200,20.5,65.4
43.72,45.37,42.06,4.300,20.7,65.2
42.11,43.56,40.67,4.399,20.7,65.2
42.15,44.41,39.89,4.500,20.9,65.1
41.72,43.85,39.58,4.600,21.0,65.0
41.34,43.72,38.96,4.700,21.1,64.9
40.00,41.87,38.13,4.799,21.1,64.8
39.91,42.19,37.62,4.900,21.3,64.7
39.86,42.39,37.33,5.000,21.5,64.6
39.64,41.85,37.42,5.100,21.6,64.4
38.74,41.70,35.78,5.200,21.8,64.4
38.80,41.28,36.32,5.300,22.0,64.4
38.12,40.94,35.31,5.400,22.3,64.3
37.45,40.38,34.51,5.500,22.6,64.2
37.21,39.41,35.01,5.600,22.8,64.1
36.33,39.48,33.19,5.700,23.2,64.0
36.82,39.84,33.81,5.800,23.5,63.9
35.71,38.90,32.53,5.899,23.7,63.8
34.48,38.12,30.84,6.000,24.0,63.8
34.97,37.60,32.34,6.100,24.3,63.5
34.68,38.77,30.59,6.200,24.5,63.4
33.89,37.92,29.86,6.299,24.8,63.3
33.70,36.81,30.60,6.400,25.2,63.1
33.02,36.67,29.38,6.500,25.5,62.8
32.88,36.66,29.10,6.600,25.8,62.8
32.65,37.09,28.21,6.700,26.3,62.5
32.35,37.82,26.88,6.800,26.6,62.4
31.21,36.59,25.83,6.900,27.1,62.3
31.22,37.21,25.23,7.000,27.5,61.9
30.88,36.68,25.07,7.100,28.0,61.8
30.78,36.34,25.22,7.200,28.5,61.4
31.25,36.82,25.68,7.300,29.0,60.9
32.21,36.82,27.60,7.400,29.4,60.0
35.07,38.49,31.66,7.500,29.8,57.7
74.19,73.99,74.38,0.000,20.0,62.7
74.19,73.67,74.72,0.100,20.0,62.7
73.93,73.56,74.30,0.199,20.0,62.7
73.72,73.20,74.24,0.299,20.0,62.7
73.46,73.05,73.87,0.400,20.0,62.7
72.72,72.47,72.97,0.500,20.0,62.7
72.11,72.01,72.22,0.599,20.0,62.8
71.68,71.01,72.35,0.699,20.0,62.7
70.41,70.15,70.67,0.800,20.0,62.7
70.13,70.12,70.15,0.900,20.0,62.8
69.29,69.01,69.58,0.999,20.0,62.7
68.09,68.09,68.10,1.100,20.0,62.8
67.61,67.33,67.90,1.200,20.0,62.7
66.25,66.06,66.44,1.300,20.0,62.8
65.30,65.66,64.93,1.399,20.0,62.8
64.33,64.05,64.61,1.500,20.0,62.7
63.48,63.48,63.49,1.600,20.0,62.7
62.34,62.30,62.37,1.699,20.0,62.8
61.76,61.85,61.67,1.799,20.0,62.7
60.69,60.88,60.50,1.900,20.0,62.7
59.50,59.44,59.56,2.000,20.0,62.7
58.39,58.23,58.54,2.099,20.0,62.8
56.86,56.93,56.79,2.200,20.0,62.8
56.18,56.71,55.65,2.300,20.0,62.7
55.15,55.09,55.20,2.400,20.0,62.7
53.96,54.37,53.54,2.499,20.1,62.8
53.22,52.95,53.48,2.599,20.0,62.8
53.30,53.79,52.81,2.700,20.0,62.7
51.52,52.18,50.86,2.800,20.1,62.7
50.38,50.67,50.09,2.899,20.0,62.7
49.86,49.95,49.77,2.999,20.0,62.7
49.13,49.55,48.71,3.100,20.0,62.7
47.76,47.94,47.58,3.200,20.1,62.7
47.56,46.76,48.36,3.299,20.0,62.7
46.35,46.36,46.34,3.399,20.1,62.6
45.11,46.00,44.21,3.500,20.3,62.6
45.41,44.82,46.01,3.600,20.3,62.4
44.45,43.86,45.05,3.699,20.5,62.2
44.45,44.17,44.74,3.799,20.5,62.1
43.68,43.67,43.69,3.900,20.7,62.0
43.83,44.56,43.11,3.999,20.8,61.8
42.17,41.79,42.56,4.099,20.9,61.7
42.22,41.94,42.50,4.200,21.0,61.6
41.72,42.35,41.09,4.300,21.2,61.4
41.31,41.20,41.42,4.399,21.3,61.2
41.59,41.62,41.55,4.499,21.6,61.0
40.72,40.74,40.69,4.600,21.8,60.8
39.88,39.50,40.25,4.700,21.9,60.6
40.46,40.90,40.03,4.799,22.2,60.5
40.05,40.32,39.78,4.899,22.4,60.3
39.29,40.00,38.58,4.999,22.7,60.0
38.73,39.87,37.59,5.100,23.1,59.9
39.20,39.54,38.87,5.199,23.3,59.6
38.98,38.60,39.36,5.299,23.6,59.4
38.37,38.63,38.10,5.400,23.9,59.4
37.16,38.03,36.30,5.499,24.2,59.2
36.45,38.15,34.76,5.599,24.4,59.0
35.89,37.81,33.97,5.699,24.8,59.0
34.68,37.99,31.38,5.800,25.1,58.9
34.63,37.33,31.92,5.899,25.4,58.7
33.90,37.62,30.18,5.999,25.8,58.7
33.89,36.97,30.80,6.100,26.2,58.4
31.79,36.25,27.33,6.200,26.5,58.2
32.27,36.78,27.76,6.300,27.0,57.9
32.61,36.39,28.83,6.399,27.4,57.4
31.83,35.86,27.79,6.500,27.8,56.9
31.55,36.26,26.84,6.600,28.3,56.5
33.55,36.53,30.57,6.699,28.8,55.6
33.62,35.33,31.90,6.799,29.1,54.5
69.14,69.19,69.10,0.000,17.5,62.5
68.99,69.00,68.98,0.101,17.5,62.5
68.87,68.95,68.78,0.200,17.4,62.5
68.76,68.63,68.90,0.300,17.5,62.5
69.15,69.10,69.20,0.400,17.4,62.5
69.26,69.31,69.20,0.501,17.5,62.5
69.05,68.96,69.15,0.601,17.5,62.5
68.83,68.75,68.92,0.700,17.4,62.5
68.71,68.14,69.29,0.800,17.4,62.5
69.05,69.00,69.10,0.901,17.5,62.5
69.06,69.17,68.95,1.000,17.5,62.5
68.85,68.84,68.87,1.100,17.5,62.5
68.91,69.41,68.41,1.200,17.5,62.5
68.84,68.69,69.00,1.301,17.5,62.5
69.02,68.99,69.04,1.400,17.5,62.5
68.98,69.02,68.95,1.500,17.5,62.5
68.97,68.85,69.09,1.601,17.5,62.5
69.07,68.80,69.33,1.700,17.5,62.5
69.23,69.72,68.74,1.800,17.5,62.5
69.44,69.55,69.33,1.900,17.5,62.5
69.11,69.31,68.90,2.001,17.5,62.5
68.95,69.08,68.82,2.100,17.5,62.5
68.66,68.68,68.65,2.200,17.5,62.5
68.05,68.08,68.01,2.301,17.5,62.5
67.82,67.75,67.89,2.401,17.5,62.5
66.90,67.10,66.70,2.500,17.5,62.5
65.83,65.55,66.11,2.600,17.5,62.5
65.58,65.46,65.71,2.700,17.5,62.5
64.48,64.57,64.39,2.801,17.5,62.5
63.80,64.10,63.49,2.900,17.5,62.5
62.70,62.97,62.44,3.001,17.5,62.5
61.95,62.33,61.56,3.101,17.5,62.5
61.14,61.36,60.93,3.200,17.5,62.5
60.25,60.31,60.20,3.300,17.5,62.5
58.75,59.47,58.02,3.400,17.4,62.5
57.72,58.11,57.34,3.500,17.5,62.6
57.34,57.30,57.38,3.600,17.5,62.5
55.83,55.72,55.93,3.700,17.4,62.5
55.43,55.51,55.35,3.800,17.5,62.5
54.23,53.95,54.51,3.901,17.5,62.6
52.58,53.46,51.69,4.000,17.5,62.5
52.28,52.49,52.07,4.100,17.5,62.6
50.41,50.32,50.51,4.201,17.5,62.5
49.83,49.56,50.10,4.300,17.5,62.5
49.05,49.34,48.77,4.400,17.5,62.5
48.04,48.01,48.07,4.500,17.5,62.5
46.94,47.00,46.88,4.600,17.5,62.5
45.57,45.90,45.24,4.700,17.5,62.5
44.73,45.43,44.03,4.800,17.5,62.5
44.41,44.28,44.54,4.900,17.5,62.6
42.72,42.01,43.43,5.001,17.5,62.5
42.32,42.42,42.22,5.100,17.5,62.6
42.13,41.23,43.02,5.200,17.5,62.5
40.39,40.00,40.79,5.300,17.6,62.5
39.85,39.95,39.76,5.401,17.7,62.4
40.26,40.30,40.23,5.500,17.7,62.3
40.20,39.97,40.42,5.600,17.8,62.1
38.74,38.91,38.57,5.700,17.9,62.1
38.63,38.45,38.81,5.800,18.1,61.8
37.83,37.82,37.85,5.900,18.2,61.9
36.34,36.67,36.02,6.000,18.3,61.8
35.97,36.26,35.69,6.101,18.4,61.6
35.55,35.85,35.24,6.200,18.5,61.4
34.35,34.51,34.20,6.300,18.6,61.4
34.25,33.90,34.59,6.400,18.7,61.2
34.78,34.68,34.88,6.500,18.9,60.9
33.78,33.47,34.08,6.600,19.1,60.8
32.86,31.76,33.96,6.700,19.2,60.5
32.61,32.86,32.36,6.800,19.4,60.4
31.32,31.88,30.76,6.900,19.6,60.3
31.32,31.48,31.16,7.001,19.9,60.0
31.43,31.94,30.91,7.100,20.0,59.8
31.03,32.41,29.65,7.200,20.3,59.6
29.95,30.08,29.82,7.300,20.5,59.2
30.28,31.69,28.88,7.400,20.8,58.9
29.58,30.01,29.15,7.500,21.1,58.5
29.24,29.75,28.74,7.600,21.3,58.2
28.77,29.58,27.97,7.700,21.7,57.9
28.03,28.85,27.20,7.800,22.0,57.5
28.13,28.68,27.57,7.900,22.3,57.1
27.27,27.76,26.78,8.000,22.8,56.6
26.60,27.45,25.75,8.100,23.2,56.3
25.67,26.44,24.90,8.200,23.6,55.9
24.44,25.18,23.69,8.300,24.0,55.4
67.96,68.85,67.07,0.000,18.4,63.0
68.15,69.41,66.88,0.100,18.4,63.0
68.10,69.00,67.19,0.199,18.4,62.9
68.37,69.10,67.64,0.300,18.4,62.9
68.19,68.74,67.65,0.400,18.4,63.0
67.75,68.76,66.75,0.500,18.4,63.0
68.34,69.54,67.15,0.600,18.4,63.0
68.25,69.32,67.18,0.700,18.4,63.0
68.33,69.40,67.26,0.800,18.4,63.0
68.22,69.58,66.85,0.900,18.4,63.0
68.58,69.86,67.30,0.999,18.4,63.0
68.03,69.22,66.84,1.100,18.4,63.0
67.91,68.67,67.15,1.200,18.4,63.0
68.02,69.09,66.94,1.300,18.4,63.0
67.96,69.17,66.74,1.400,18.4,63.0
68.36,69.58,67.14,1.500,18.4,63.0
67.84,68.83,66.86,1.600,18.4,63.0
67.45,68.73,66.18,1.699,18.4,63.0
66.87,67.71,66.02,1.800,18.4,62.9
66.28,67.12,65.44,1.900,18.4,63.0
65.61,66.81,64.40,2.000,18.4,62.9
65.04,66.16,63.91,2.100,18.4,63.0
64.32,65.56,63.08,2.200,18.4,63.0
62.88,64.00,61.75,2.300,18.4,63.0
62.40,63.04,61.76,2.400,18.4,62.9
61.16,62.22,60.11,2.500,18.4,62.9
60.76,62.28,59.23,2.600,18.4,62.9
59.50,60.84,58.15,2.700,18.4,63.0
57.99,59.13,56.84,2.801,18.4,63.0
57.63,59.27,55.98,2.900,18.4,62.9
56.51,57.73,55.30,3.000,18.4,62.9
55.73,56.68,54.78,3.100,18.4,62.9
53.62,54.81,52.43,3.199,18.4,63.0
53.16,53.68,52.63,3.300,18.4,62.9
52.09,53.21,50.97,3.400,18.4,62.9
51.23,52.17,50.30,3.500,18.4,63.0
50.29,51.02,49.55,3.599,18.4,63.0
49.25,50.22,48.28,3.700,18.4,62.9
47.84,48.44,47.23,3.800,18.4,63.0
47.38,47.93,46.84,3.900,18.5,63.0
46.06,46.92,45.19,4.000,18.4,63.0
45.57,46.79,44.35,4.100,18.4,63.0
44.76,45.72,43.80,4.200,18.3,62.9
44.14,45.75,42.53,4.299,18.5,63.0
43.95,44.66,43.24,4.400,18.5,63.0
42.17,43.74,40.60,4.500,18.6,63.0
41.73,42.80,40.66,4.600,18.7,62.9
40.95,42.66,39.25,4.699,18.9,62.9
39.84,40.58,39.10,4.800,19.0,62.6
40.09,40.90,39.28,4.900,19.1,62.5
39.40,40.07,38.73,5.000,19.2,62.5
38.78,39.67,37.89,5.099,19.5,62.3
38.54,39.96,37.12,5.200,19.5,62.2
38.21,39.34,37.07,5.300,19.6,62.1
37.17,39.19,35.15,5.401,19.7,62.0
36.36,38.50,34.22,5.500,19.9,61.8
35.61,37.24,33.98,5.600,20.0,61.8
34.90,37.35,32.46,5.700,20.1,61.7
34.02,36.17,31.88,5.799,20.2,61.5
33.82,36.46,31.19,5.900,20.4,61.4
32.87,34.96,30.78,6.000,20.5,61.3
31.98,34.24,29.72,6.100,20.6,61.1
31.02,33.09,28.95,6.200,20.8,61.0
30.90,33.90,27.91,6.300,21.0,60.9
29.73,31.93,27.54,6.400,21.1,60.6
28.82,31.12,26.51,6.500,21.3,60.6
27.76,29.10,26.42,6.600,21.2,60.3
27.18,28.48,25.87,6.700,21.5,60.1
26.18,27.24,25.12,6.800,21.6,59.9
25.69,26.44,24.94,6.900,21.6,59.6
25.45,26.21,24.69,6.999,21.8,59.3
24.34,24.60,24.08,7.100,21.9,59.0
22.90,22.73,23.07,7.200,22.0,58.7
22.20,20.93,23.48,7.300,22.1,58.2
21.80,20.67,22.93,7.400,22.5,57.8
20.53,19.18,21.88,7.500,22.6,57.4
18.84,17.48,20.21,7.600,22.9,56.9
66.62,67.31,65.94,0.000,17.6,62.3
66.74,67.56,65.92,0.101,17.6,62.3
66.69,67.19,66.20,0.200,17.6,62.3
66.69,67.15,66.22,0.300,17.6,62.3
66.58,66.88,66.28,0.401,17.6,62.3
66.29,66.77,65.81,0.501,17.6,62.3
66.27,67.07,65.47,0.600,17.6,62.3
65.45,65.98,64.93,0.700,17.6,62.3
65.12,65.56,64.68,0.801,17.6,62.3
64.64,65.12,64.15,0.901,17.5,62.3
