CA(m) [°],CA(l) [°],CA(r) [°],Elapsed time [s],Three-phase point (l) [mm],Three-phase point (r) [mm]
61.42,61.27,61.57,2.500,18.3,62.1
59.82,59.46,60.19,2.600,18.3,62.1
58.87,58.80,58.94,2.700,18.3,62.1
58.12,58.01,58.24,2.801,18.3,62.1
57.37,57.26,57.48,2.900,18.3,62.1
56.06,55.93,56.19,3.001,18.4,62.1
55.27,55.39,55.15,3.100,18.4,62.1
54.21,54.47,53.96,3.200,18.3,62.1
53.03,53.08,52.98,3.300,18.3,62.1
52.29,52.54,52.04,3.400,18.4,62.1
50.81,50.38,51.25,3.500,18.4,62.1
49.51,49.07,49.95,3.600,18.3,62.1
48.78,48.16,49.41,3.700,18.3,62.1
47.84,48.07,47.60,3.800,18.4,62.1
47.49,46.46,48.51,3.900,18.4,62.0
45.90,46.16,45.63,4.000,18.3,62.1
45.12,45.03,45.22,4.100,18.3,62.1
44.32,43.94,44.71,4.200,18.4,62.0
43.27,43.32,43.23,4.301,18.4,62.1
42.95,42.43,43.46,4.400,18.4,62.1
41.29,40.69,41.88,4.500,18.4,62.1
40.76,40.71,40.81,4.600,18.4,62.1
39.67,39.68,39.66,4.700,18.4,62.1
38.17,37.95,38.39,4.800,18.4,62.1
37.37,37.75,36.98,4.900,18.4,62.1
35.94,35.69,36.19,5.000,18.5,62.0
35.13,34.80,35.47,5.100,18.4,62.1
33.89,33.58,34.20,5.200,18.5,62.1
32.35,32.49,32.20,5.300,18.4,62.0
33.07,32.48,33.67,5.401,18.4,61.9
31.94,31.10,32.79,5.500,18.5,61.8
31.33,31.13,31.54,5.600,18.7,61.7
30.13,30.00,30.26,5.700,18.8,61.6
28.69,28.46,28.92,5.800,18.8,61.6
27.69,27.33,28.04,5.900,18.9,61.6
26.63,26.59,26.67,6.000,18.9,61.6
25.56,25.27,25.85,6.100,19.0,61.5
24.22,24.44,24.00,6.201,19.1,61.5
23.37,23.83,22.92,6.301,19.2,61.4
21.50,21.55,21.45,6.400,19.2,61.4
20.42,20.55,20.28,6.500,19.3,61.3
19.12,19.00,19.24,6.600,19.3,61.2
17.71,17.23,18.19,6.700,19.2,61.2
16.82,16.61,17.03,6.800,19.4,61.1
14.50,14.28,14.72,6.900,19.5,61.1
13.22,13.55,12.90,7.000,19.7,61.0
11.48,11.82,11.15,7.100,19.5,61.1
11.85,11.36,12.35,7.200,19.6,60.5
72.74,72.10,73.39,0.000,18.7,62.5
72.72,72.07,73.36,0.100,18.7,62.5
73.09,73.06,73.12,0.199,18.7,62.5
72.74,72.37,73.10,0.300,18.7,62.5
72.85,73.05,72.65,0.400,18.7,62.5
72.72,73.15,72.29,0.501,18.7,62.5
73.03,72.64,73.42,0.599,18.7,62.5
72.61,72.29,72.93,0.700,18.7,62.5
72.99,72.69,73.28,0.800,18.7,62.5
72.94,72.85,73.03,0.903,18.7,62.5
72.69,72.22,73.16,1.000,18.7,62.5
72.85,72.30,73.39,1.100,18.7,62.5
73.15,72.79,73.51,1.200,18.7,62.5
72.49,72.37,72.60,1.300,18.7,62.5
72.68,72.32,73.04,1.400,18.7,62.5
73.02,72.90,73.13,1.500,18.7,62.5
72.90,72.68,73.12,1.600,18.7,62.5
72.70,72.77,72.62,1.699,18.7,62.5
72.02,71.42,72.63,1.800,18.7,62.5
71.46,71.15,71.78,1.900,18.7,62.5
70.95,70.46,71.44,2.000,18.7,62.5
70.01,69.57,70.44,2.100,18.7,62.5
69.34,68.82,69.85,2.200,18.7,62.5
68.83,68.72,68.94,2.300,18.7,62.5
68.09,67.76,68.43,2.400,18.7,62.5
67.29,66.95,67.63,2.500,18.7,62.5
66.20,66.26,66.13,2.600,18.7,62.5
65.48,65.25,65.70,2.700,18.7,62.5
64.67,64.41,64.94,2.800,18.7,62.5
63.24,62.99,63.48,2.900,18.7,62.5
62.76,63.08,62.44,3.000,18.7,62.5
61.44,61.15,61.74,3.100,18.7,62.5
60.94,61.15,60.74,3.199,18.7,62.5
59.35,59.18,59.52,3.299,18.7,62.5
58.86,59.62,58.09,3.400,18.7,62.5
57.76,57.76,57.77,3.500,18.7,62.5
56.29,56.62,55.97,3.600,18.7,62.5
55.56,55.06,56.06,3.700,18.7,62.5
54.45,54.12,54.77,3.800,18.7,62.5
53.55,53.60,53.50,3.900,18.7,62.5
51.46,51.55,51.37,4.000,18.6,62.5
51.65,51.80,51.50,4.100,18.7,62.5
50.39,50.47,50.30,4.200,18.7,62.5
49.85,49.24,50.47,4.299,18.6,62.5
48.69,48.45,48.94,4.399,18.7,62.5
46.77,46.80,46.74,4.500,18.7,62.5
45.98,46.34,45.62,4.600,18.7,62.6
45.24,45.35,45.12,4.700,18.7,62.5
43.64,43.25,44.02,4.800,18.7,62.5
43.83,43.43,44.23,4.900,18.7,62.5
42.52,42.93,42.11,5.000,18.7,62.5
42.07,41.56,42.59,5.099,18.7,62.5
40.80,40.68,40.93,5.200,18.7,62.5
39.36,40.17,38.55,5.300,18.7,62.5
38.82,38.65,38.99,5.400,18.7,62.5
37.37,37.87,36.86,5.499,18.8,62.5
36.63,36.19,37.07,5.600,18.7,62.4
34.85,34.60,35.09,5.700,18.8,62.4
34.60,34.53,34.67,5.800,18.7,62.4
33.16,33.05,33.27,5.900,18.8,62.4
32.58,32.25,32.90,6.000,18.9,62.4
31.05,30.47,31.63,6.100,18.9,62.4
30.46,30.58,30.34,6.199,19.0,62.4
30.22,29.96,30.48,6.299,19.1,62.2
28.92,28.88,28.96,6.400,19.1,62.2
27.76,27.65,27.88,6.500,19.2,62.0
26.54,25.99,27.09,6.600,19.2,62.1
25.63,25.45,25.81,6.700,19.2,62.0
24.16,23.64,24.68,6.800,19.3,62.0
22.92,22.22,23.61,6.900,19.2,61.9
22.04,21.94,22.14,7.000,19.4,61.9
20.79,20.50,21.08,7.099,19.5,61.8
19.87,19.84,19.90,7.200,19.6,61.7
18.22,17.79,18.66,7.299,19.7,61.6
16.98,16.95,17.01,7.399,19.7,61.5
15.91,15.82,16.00,7.500,19.8,61.4
14.86,15.09,14.64,7.600,19.9,61.4
14.30,14.60,14.00,7.700,20.0,61.4
12.87,12.65,13.09,7.800,20.3,61.0
9.26,9.00,9.52,7.900,19.8,61.0
7.03,8.36,5.71,8.000,20.8,61.1
71.85,71.55,72.15,0.000,18.7,62.4
72.14,71.94,72.34,0.100,18.7,62.4
72.54,72.15,72.94,0.199,18.7,62.4
72.04,71.49,72.59,0.300,18.7,62.4
72.03,71.72,72.35,0.400,18.7,62.4
122.40,124.16,120.63,0.500,19.9,61.2
72.52,72.48,72.56,0.599,18.7,62.4
72.44,71.70,73.17,0.700,18.7,62.4
72.62,72.17,73.06,0.800,18.7,62.4
72.48,72.32,72.64,0.900,18.7,62.4
72.08,71.91,72.25,0.999,18.7,62.4
121.17,123.81,118.52,1.100,20.0,61.2
72.57,72.09,73.04,1.200,18.7,62.4
72.36,71.82,72.91,1.300,18.7,62.4
71.85,71.98,71.72,1.400,18.7,62.4
72.14,71.62,72.65,1.500,18.7,62.4
72.32,71.60,73.05,1.600,18.7,62.4
72.62,72.16,73.08,1.699,18.7,62.4
72.21,72.07,72.35,1.799,18.7,62.4
72.15,71.56,72.74,1.900,18.7,62.4
71.84,71.88,71.81,2.000,18.7,62.4
71.94,71.68,72.20,2.100,18.7,62.4
72.30,72.30,72.29,2.200,18.7,62.4
72.44,72.49,72.40,2.300,18.7,62.4
72.12,71.65,72.58,2.400,18.7,62.4
72.35,72.27,72.43,2.499,18.7,62.4
121.82,124.02,119.63,2.600,20.0,61.2
72.06,71.57,72.56,2.700,18.7,62.4
72.37,71.92,72.81,2.800,18.7,62.4
72.13,71.50,72.76,2.900,18.7,62.4
71.59,71.56,71.63,3.000,18.7,62.4
70.85,70.41,71.30,3.100,18.7,62.4
70.84,70.42,71.26,3.199,18.7,62.4
70.57,70.43,70.71,3.299,18.7,62.4
69.71,69.16,70.26,3.400,18.7,62.4
132.95,126.79,139.10,3.500,20.2,61.1
68.25,67.98,68.51,3.599,18.7,62.4
67.21,66.48,67.94,3.700,18.7,62.4
66.35,66.14,66.57,3.800,18.7,62.4
65.49,64.94,66.05,3.900,18.7,62.4
64.89,64.68,65.09,3.999,18.7,62.4
63.62,63.13,64.10,4.100,18.7,62.4
62.91,62.85,62.97,4.200,18.7,62.4
62.07,61.89,62.24,4.300,18.7,62.4
61.36,61.47,61.25,4.399,18.7,62.4
60.17,59.98,60.36,4.500,18.7,62.4
59.30,59.14,59.46,4.600,18.7,62.4
58.27,58.20,58.34,4.699,18.7,62.4
56.80,56.29,57.30,4.799,18.7,62.4
55.32,54.90,55.74,4.903,18.7,62.4
54.79,55.08,54.50,5.000,18.7,62.4
53.71,53.15,54.27,5.099,18.7,62.4
52.38,52.22,52.54,5.200,18.7,62.4
51.34,51.45,51.24,5.300,18.7,62.4
50.16,50.04,50.28,5.400,18.6,62.4
49.26,49.02,49.50,5.499,18.7,62.4
48.33,48.70,47.96,5.600,18.7,62.4
47.52,47.11,47.93,5.700,18.7,62.4
45.42,45.09,45.74,5.800,18.6,62.4
44.86,44.35,45.36,5.900,18.7,62.4
43.98,44.64,43.31,6.000,18.7,62.4
42.87,42.67,43.08,6.100,18.7,62.4
42.10,41.38,42.82,6.199,18.7,62.4
40.59,40.66,40.51,6.299,18.7,62.4
40.17,39.85,40.49,6.400,18.7,62.3
38.87,39.01,38.74,6.500,18.8,62.4
38.12,37.92,38.33,6.599,18.8,62.4
36.82,36.12,37.52,6.700,18.7,62.4
36.20,36.23,36.17,6.800,18.8,62.3
34.18,34.09,34.28,6.900,18.8,62.4
34.36,34.77,33.95,6.999,18.8,62.3
33.19,33.13,33.25,7.100,18.8,62.3
32.16,31.58,32.74,7.200,18.8,62.3
30.78,30.91,30.65,7.300,18.9,62.3
29.05,30.35,27.74,7.399,19.1,62.4
29.20,29.38,29.01,7.500,19.2,62.1
28.16,28.17,28.16,7.600,19.2,62.0
27.00,26.85,27.15,7.699,19.1,61.9
25.71,25.49,25.92,7.800,19.1,61.9
24.63,24.46,24.80,7.900,19.1,61.9
23.76,23.72,23.80,8.000,19.2,61.9
22.63,22.87,22.38,8.099,19.3,62.0
20.98,20.67,21.30,8.199,19.3,61.3
19.95,19.89,20.00,8.300,19.4,61.8
18.71,18.66,18.76,8.400,19.4,61.7
17.49,17.45,17.54,8.500,19.4,61.1
16.11,16.17,16.05,8.600,19.6,61.6
15.06,14.90,15.22,8.700,19.4,60.9
13.38,13.42,13.35,8.800,20.2,61.1
23.44,25.41,21.48,8.900,20.0,61.3
11.80,11.60,11.99,9.000,20.6,60.6
8.89,9.54,8.23,9.100,20.7,62.0
9.65,11.23,8.07,9.199,21.2,60.5
8.78,9.85,7.71,9.299,21.1,59.3
12.01,11.60,12.43,9.400,23.0,57.1
,,,9.500,,
13.34,3.68,22.99,9.600,20.6,55.2
